Size,TimeMicroseconds
51200,21025
51300,22160
51400,16078
51500,17045
51600,20838
51700,22775.2
51800,17814.8
51900,18664.4
52000,23316
52100,21250.8
52200,20479.2
52300,24861.8
52400,25577.4
52500,21550.4
52600,21614.8
52700,23593.6
52800,23129.8
52900,17740.6
53000,21889.6
53100,21484.2
53200,20925.8
53300,20064
53400,22237
53500,24293.6
53600,22488
53700,18497.6
53800,20703.6
53900,25262
54000,26165
54100,14458
54200,12056.4
54300,15802.2
54400,14231.2
54500,13096.6
54600,16671
54700,18553
54800,18057
54900,17174.8
55000,20234.8
55100,22811
55200,24542.6
55300,19080.6
55400,21072.6
55500,21711.2
55600,15451.4
55700,22756
55800,19254.8
55900,18687
56000,20029.8
56100,26971.2
56200,15410.6
56300,13754.8
56400,18275
56500,19057.2
56600,13521.6
56700,18501.2
56800,18066.6
56900,18014.2
57000,17532
57100,21023.8
57200,18275.8
57300,15863.8
57400,21613.4
57500,13583
57600,21016
57700,19609.6
57800,24217
57900,22347
58000,26312
58100,20670.6
58200,28286.2
58300,18215.8
58400,22938
58500,21556.8
58600,22174.4
58700,23167.2
58800,20839.4
58900,22356.6
59000,21916.2
59100,24943
59200,22231.2
59300,23498.2
59400,19491.2
59500,22768.4
59600,22372.6
59700,23850
59800,28072.6
59900,25563.8
60000,21505
60100,25423.8
60200,28379.8
60300,27631.6
60400,24758.8
60500,24961.2
60600,26380.2
60700,15818.6
60800,25505.8
60900,22350.2
61000,28980
61100,27807
61200,31006.4
61300,20587
61400,28401.8
61500,23126
61600,28897.4
61700,22886.6
61800,24612.4
61900,21991.2
62000,25278.8
62100,26662.8
62200,32952.2
62300,33053
62400,29934.8
62500,30846.4
62600,33424.6
62700,34066.6
62800,27257
62900,20491
63000,22067.2
63100,28511.2
63200,26591.6
63300,30039.8
63400,33639.2
63500,22473.6
63600,28225.6
63700,34734.4
63800,22728.8
63900,29845.4
64000,37148.2
64100,24219.8
64200,39868.6
64300,32986.2
64400,26236.8
64500,38353.6
64600,50662
64700,44222.2
64800,33108.4
64900,24260.6
65000,18928.8
65100,20123.4
65200,25032
65300,22358.8
65400,31471.6
65500,37160
65600,32915.2
65700,33343.6
65800,26465
65900,29594.6
66000,24012.6
66100,22075.4
66200,32029.4
66300,32534.8
66400,25865.4
66500,23899.8
66600,24377.4
66700,26117.2
66800,27681.4
66900,34913.6
67000,26077
67100,33129
67200,25605
67300,27710.2
67400,28410
67500,26130.6
67600,29851.8
67700,42202.4
67800,30005.8
67900,25561.6
68000,35251.2
68100,40277
68200,33420.6
68300,26488
68400,25710
68500,27147
68600,28702.6
68700,33753.6
68800,27448.2
68900,29886.6
69000,23147.6
69100,23779.6
69200,30805.6
69300,31219
69400,35177.2
69500,23968.4
69600,34409
69700,25293.8
